id,release_date,title,production_budget,domestic_gross,worldwide_gross,original_language,popularity,vote_average,vote_count,profit,roi
62,2007-12-25,The Bucket List,45000000.0,93466502.0,174807445.0,en,23,8.0,5837,129807445.0,2.884609888888889
62,1993-05-28,Super Mario Bros.,42000000.0,20844907.0,20844907.0,en,23,8.0,5837,-21155093.0,-0.5036926904761905
62,2018-01-12,The Commuter,40000000.0,36343858.0,101985431.0,en,23,8.0,5837,61985431.0,1.549635775
62,2016-12-23,Why Him?,38000000.0,60323786.0,117425156.0,en,23,8.0,5837,79425156.0,2.0901356842105265
62,2015-05-22,Poltergeist,35000000.0,47425125.0,95713069.0,en,23,8.0,5837,60713069.0,1.7346591142857142
62,1993-09-17,The Age of Innocence,34000000.0,32014993.0,32014993.0,en,23,8.0,5837,-1985007.0,-0.05838255882352941
62,2009-04-10,Hannah Montana the Movie,30000000.0,79576189.0,169173206.0,en,23,8.0,5837,139173206.0,4.639106866666666
62,1996-07-19,Fled,30000000.0,17192205.0,19892205.0,en,23,8.0,5837,-10107795.0,-0.3369265
62,1982-06-25,Blade Runner,28000000.0,32656328.0,39342912.0,en,23,8.0,5837,11342912.0,0.405104
62,1988-12-16,Rain Man,25000000.0,172825435.0,412800000.0,en,23,8.0,5837,387800000.0,15.512
62,2002-11-15,Half Past Dead,25000000.0,15567860.0,19233280.0,en,23,8.0,5837,-5766720.0,-0.2306688
62,2005-06-10,Hauru no ugoku shiro,24000000.0,4710455.0,237814327.0,en,23,8.0,5837,213814327.0,8.908930291666668
62,1999-06-30,"South Park: Bigger, Longer & Uncut",21000000.0,52037603.0,52037603.0,en,23,8.0,5837,31037603.0,1.4779810952380952
62,2010-03-12,She's Out of My League,20000000.0,32010860.0,48680977.0,en,23,8.0,5837,28680977.0,1.43404885
62,2008-10-03,An American Carol,20000000.0,7013191.0,7022183.0,en,23,8.0,5837,-12977817.0,-0.64889085
62,2008-07-04,Ne le dis Ã personne,18500000.0,6198883.0,33954018.0,en,23,8.0,5837,15454018.0,0.8353523243243243
62,2006-08-25,Beerfest,17500000.0,19185184.0,20159316.0,en,23,8.0,5837,2659316.0,0.1519609142857143
62,2004-09-03,The Cookout,16000000.0,11540112.0,11540112.0,en,23,8.0,5837,-4459888.0,-0.278743
62,1996-05-03,The Craft,15000000.0,24769466.0,55669466.0,en,23,8.0,5837,40669466.0,2.7112977333333332
62,2015-09-01,Broken Horses,15000000.0,0.0,3471.0,en,23,8.0,5837,-14996529.0,-0.9997686
62,2014-07-02,Earth to Echo,13000000.0,38934842.0,42174545.0,en,23,8.0,5837,29174545.0,2.2441957692307692
62,1997-12-25,Jackie Brown,12000000.0,39673162.0,74727492.0,en,23,8.0,5837,62727492.0,5.227291
62,2016-01-22,Dirty Grandpa,11500000.0,35593113.0,105078449.0,en,23,8.0,5837,93578449.0,8.137256434782609
62,2001-08-31,Jeepers Creepers,10000000.0,37904175.0,58939035.0,en,23,8.0,5837,48939035.0,4.8939035
62,2010-06-18,Io sono lâamore,10000000.0,5005465.0,15121528.0,en,23,8.0,5837,5121528.0,0.5121528
62,2011-11-11,Melancholia,9400000.0,3030848.0,21817298.0,en,23,8.0,5837,12417298.0,1.3209891489361703
62,1994-10-14,Pulp Fiction,8000000.0,107928762.0,212928762.0,en,23,8.0,5837,204928762.0,25.61609525
62,2005-10-21,Shopgirl,7500000.0,10284523.0,11758418.0,en,23,8.0,5837,4258418.0,0.5677890666666666
62,2014-01-28,Snezhnaya koroleva,7000000.0,0.0,15193977.0,en,23,8.0,5837,8193977.0,1.1705681428571428
62,2006-12-21,Venus,6000000.0,3347411.0,7818479.0,en,23,8.0,5837,1818479.0,0.3030798333333333
62,2013-08-30,No se Aceptan Devoluciones,5000000.0,44467206.0,100486616.0,en,23,8.0,5837,95486616.0,19.0973232
62,2006-07-14,The Oh in Ohio,5000000.0,418689.0,648183.0,en,23,8.0,5837,-4351817.0,-0.8703634
62,2016-12-31,Airlift (2016),4400000.0,0.0,9969237.0,en,23,8.0,5837,5569237.0,1.2657356818181817
62,2012-11-09,Replicas,4000000.0,0.0,0.0,en,23,8.0,5837,-4000000.0,-1.0
62,1996-07-19,Trainspotting,3100000.0,16501785.0,71558971.0,en,23,8.0,5837,68458971.0,22.083539032258063
62,2009-12-31,The Deported,3000000.0,0.0,0.0,en,23,8.0,5837,-3000000.0,-1.0
62,1998-05-01,"Dancer, Texas Pop. 81",2300000.0,574838.0,574838.0,en,23,8.0,5837,-1725162.0,-0.7500704347826087
62,2015-10-09,Knock Knock,2000000.0,36336.0,6328516.0,en,23,8.0,5837,4328516.0,2.164258
62,1955-08-05,The Kingâs Thief,1577000.0,0.0,0.0,en,23,8.0,5837,-1577000.0,-1.0
62,1951-07-03,Strangers on a Train,1200000.0,7000000.0,7000000.0,en,23,8.0,5837,5800000.0,4.833333333333333
62,2011-07-29,The Future,1000000.0,568662.0,1239174.0,en,23,8.0,5837,239174.0,0.239174
62,1993-10-01,Ruby in Paradise,800000.0,1001437.0,1001437.0,en,23,8.0,5837,201437.0,0.25179625
62,2010-05-14,The Living Wake,500000.0,12232.0,12232.0,en,23,8.0,5837,-487768.0,-0.975536
62,2013-08-07,Midnight Cabaret,300000.0,0.0,0.0,en,23,8.0,5837,-300000.0,-1.0
62,2013-12-31,Speak No Evil,150000.0,0.0,32927.0,en,23,8.0,5837,-117073.0,-0.7804866666666667
62,2014-12-31,Stories of Our Lives,15000.0,0.0,0.0,en,23,8.0,5837,-15000.0,-1.0
90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,en,15,7.1,1827,35098356.0,0.19499086666666668
90,2013-06-28,White House Down,150000000.0,73103784.0,205440387.0,en,15,7.1,1827,55440387.0,0.36960258
90,2018-04-13,Rampage,120000000.0,101028233.0,428056280.0,en,15,7.1,1827,308056280.0,2.5671356666666667
90,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,100000000.0,55675313.0,139716717.0,en,15,7.1,1827,39716717.0,0.39716717
90,2001-12-07,Ocean's Eleven,85000000.0,183417150.0,450728529.0,en,15,7.1,1827,365728529.0,4.302688576470588
90,2005-08-26,The Brothers Grimm,80000000.0,37899638.0,105299638.0,en,15,7.1,1827,25299638.0,0.316245475
90,2004-07-30,The Village,71682975.0,114197520.0,257641634.0,en,15,7.1,1827,185958659.0,2.594181658894598
90,1993-05-28,Cliffhanger,65000000.0,84049211.0,255000000.0,en,15,7.1,1827,190000000.0,2.923076923076923
90,1997-11-14,The Jackal,60000000.0,54956941.0,159356941.0,en,15,7.1,1827,99356941.0,1.6559490166666666
90,1996-06-28,The Nutty Professor,55000000.0,128814019.0,273814019.0,en,15,7.1,1827,218814019.0,3.978436709090909
90,1998-12-25,Patch Adams,50000000.0,135014968.0,202173000.0,en,15,7.1,1827,152173000.0,3.04346
90,1995-11-03,Fair Game,50000000.0,11497497.0,26097497.0,en,15,7.1,1827,-23902503.0,-0.47805006
90,2014-05-23,Blended,45000000.0,46290741.0,127990741.0,en,15,7.1,1827,82990741.0,1.8442386888888889
90,2016-06-10,The Conjuring 2: The Enfield Poltergeist,40000000.0,102470008.0,311262102.0,en,15,7.1,1827,271262102.0,6.78155255
90,1994-06-03,Renaissance Man,40000000.0,24172899.0,24172899.0,en,15,7.1,1827,-15827101.0,-0.395677525
90,2013-08-07,We're the Millers,37000000.0,150394119.0,267816276.0,en,15,7.1,1827,230816276.0,6.23827772972973
90,2008-08-15,Mirrors,35000000.0,30691439.0,77220596.0,en,15,7.1,1827,42220596.0,1.206302742857143
90,1996-07-05,Phenomenon,32000000.0,104636382.0,152036382.0,en,15,7.1,1827,120036382.0,3.7511369375
90,2001-04-06,Blow,30000000.0,52990775.0,83282296.0,en,15,7.1,1827,53282296.0,1.7760765333333333
90,2017-09-22,Stronger,30000000.0,4211129.0,8786752.0,en,15,7.1,1827,-21213248.0,-0.7071082666666667
90,2011-10-28,Anonymous,27500000.0,4463292.0,15815509.0,en,15,7.1,1827,-11684491.0,-0.42489058181818185
90,2006-06-06,The Omen,25000000.0,54607383.0,119295584.0,en,15,7.1,1827,94295584.0,3.77182336
90,2002-08-16,Possession,25000000.0,10103647.0,14805812.0,en,15,7.1,1827,-10194188.0,-0.40776752
90,2004-01-09,Chasing Liberty,23000000.0,12189514.0,12291975.0,en,15,7.1,1827,-10708025.0,-0.4655663043478261
90,1977-11-16,Close Encounters of the Third Kind,20000000.0,169100479.0,340800479.0,en,15,7.1,1827,320800479.0,16.04002395
90,1995-09-27,To Die For,20000000.0,21284514.0,27688744.0,en,15,7.1,1827,7688744.0,0.3844372
90,2011-04-29,Dylan Dog: Dead of Night,20000000.0,1186538.0,6093725.0,en,15,7.1,1827,-13906275.0,-0.69531375
90,2013-07-26,Blue Jasmine,18000000.0,33404871.0,102912961.0,en,15,7.1,1827,84912961.0,4.717386722222222
90,2010-08-20,Lottery Ticket,17000000.0,24719879.0,24719879.0,en,15,7.1,1827,7719879.0,0.4541105294117647
90,2002-09-27,Wasabi,15300000.0,81525.0,7000000.0,en,15,7.1,1827,-8300000.0,-0.5424836601307189
90,2017-01-20,The Founder,15000000.0,12786053.0,24403192.0,en,15,7.1,1827,9403192.0,0.6268794666666667
90,2012-01-13,The Iron Lady,14000000.0,29959436.0,115592104.0,en,15,7.1,1827,101592104.0,7.256578857142857
90,1999-08-04,Dick,13000000.0,6276869.0,6276869.0,en,15,7.1,1827,-6723131.0,-0.517163923076923
90,2006-03-03,Aquamarine,12000000.0,18597342.0,22978953.0,en,15,7.1,1827,10978953.0,0.91491275
90,2013-01-11,Quartet,11000000.0,18388357.0,56178935.0,en,15,7.1,1827,45178935.0,4.107175909090909
90,2006-10-06,Employee of the Month,10000000.0,28444855.0,38364855.0,en,15,7.1,1827,28364855.0,2.8364855
90,2012-07-27,Killer Joe,10000000.0,1291645.0,4659110.0,en,15,7.1,1827,-5340890.0,-0.534089
90,2011-08-12,Glee: The 3D Concert Movie,9000000.0,11862398.0,17462398.0,en,15,7.1,1827,8462398.0,0.9402664444444444
90,2009-01-30,New in Town,8000000.0,16734283.0,29937909.0,en,15,7.1,1827,21937909.0,2.742238625
90,2018-03-16,I Can Only Imagine,7000000.0,83482352.0,85604221.0,en,15,7.1,1827,78604221.0,11.22917442857143
90,1993-04-02,The Adventures of Huck Finn,6500000.0,24103594.0,24103594.0,en,15,7.1,1827,17603594.0,2.7082452307692306
90,2005-08-12,11:14,6000000.0,0.0,0.0,en,15,7.1,1827,-6000000.0,-1.0
90,2016-02-19,Race,5000000.0,19115191.0,23745772.0,en,15,7.1,1827,18745772.0,3.7491544
90,2014-11-21,Reach Me,5000000.0,0.0,0.0,en,15,7.1,1827,-5000000.0,-1.0
90,2013-03-01,The Last Exorcism Part II,4000000.0,15179303.0,25448707.0,en,15,7.1,1827,21448707.0,5.36217675
90,1997-08-13,The Full Monty,3500000.0,45950122.0,261249383.0,en,15,7.1,1827,257749383.0,73.64268085714286
90,2006-03-03,Dave Chappelle's Block Party,3000000.0,11718595.0,12051924.0,en,15,7.1,1827,9051924.0,3.017308
90,2008-02-15,Diary of the Dead,2750000.0,952620.0,5394447.0,en,15,7.1,1827,2644447.0,0.9616170909090909
90,1946-08-15,Notorious,2000000.0,24464742.0,24464742.0,en,15,7.1,1827,22464742.0,11.232371
90,2013-02-08,Small Apartments,2000000.0,0.0,0.0,en,15,7.1,1827,-2000000.0,-1.0
90,2008-03-07,Snow Angels,1500000.0,402858.0,414404.0,en,15,7.1,1827,-1085596.0,-0.7237306666666666
90,2014-03-21,Godâs Not Dead,1150000.0,60755732.0,63777092.0,en,15,7.1,1827,62627092.0,54.45834086956522
90,2010-09-03,16 to Life,1000000.0,11574.0,11574.0,en,15,7.1,1827,-988426.0,-0.988426
90,2005-06-24,Rize,700000.0,3278611.0,4857731.0,en,15,7.1,1827,4157731.0,5.939615714285714
90,2015-12-31,Rodeo Girl,500000.0,0.0,0.0,en,15,7.1,1827,-500000.0,-1.0
90,1999-01-08,The Sticky Fingers of Time,250000.0,18195.0,20628.0,en,15,7.1,1827,-229372.0,-0.917488
90,2014-06-19,The Past is a Grotesque Animal,100000.0,20056.0,20056.0,en,15,7.1,1827,-79944.0,-0.79944
93,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,en,12,7.9,359,364537546.0,2.047963741573034
93,2015-10-09,Pan,150000000.0,35088320.0,151525973.0,en,12,7.9,359,1525973.0,0.010173153333333334
93,2013-04-19,Oblivion,120000000.0,89107235.0,287916633.0,en,12,7.9,359,167916633.0,1.399305275
93,2003-12-25,Peter Pan,100000000.0,48417850.0,95255485.0,en,12,7.9,359,-4744515.0,-0.04744515
93,2009-04-03,Fast & Furious,85000000.0,155064265.0,363064265.0,en,12,7.9,359,278064265.0,3.271344294117647
93,2013-12-20,Walking with Dinosaurs,80000000.0,36076121.0,123368842.0,en,12,7.9,359,43368842.0,0.542110525
93,2004-05-19,Shrek 2,70000000.0,441226247.0,937008132.0,en,12,7.9,359,867008132.0,12.385830457142857
93,2006-08-09,World Trade Center,65000000.0,70278893.0,163295654.0,en,12,7.9,359,98295654.0,1.5122408307692308
93,2008-12-19,The Tale of Despereaux,60000000.0,50877145.0,90482317.0,en,12,7.9,359,30482317.0,0.5080386166666667
93,1997-07-16,George Of The Jungle,55000000.0,105263257.0,174463257.0,en,12,7.9,359,119463257.0,2.1720592181818184
93,2011-06-10,Super 8,50000000.0,127004179.0,257972745.0,en,12,7.9,359,207972745.0,4.1594549
93,1995-10-13,The Scarlet Letter,50000000.0,10359006.0,10359006.0,en,12,7.9,359,-39640994.0,-0.79281988
93,2006-03-03,16 Blocks,45000000.0,36895141.0,65595141.0,en,12,7.9,359,20595141.0,0.4576698
93,2009-02-06,He's Just Not That Into You,40000000.0,93953653.0,181053657.0,en,12,7.9,359,141053657.0,3.526341425
93,1999-01-15,At First Sight,40000000.0,22365133.0,22365133.0,en,12,7.9,359,-17634867.0,-0.440871675
93,2011-09-23,Dolphin Tale,37000000.0,72286779.0,96068724.0,en,12,7.9,359,59068724.0,1.596452
93,2010-08-20,Nanny McPhee and the Big Bang,35000000.0,29197642.0,97799865.0,en,12,7.9,359,62799865.0,1.7942818571428572
93,2006-06-16,Nacho Libre,32000000.0,80197993.0,99296462.0,en,12,7.9,359,67296462.0,2.1030144375
93,1989-06-09,Star Trek V: The Final Frontier,30000000.0,52210049.0,70200000.0,en,12,7.9,359,40200000.0,1.34
93,2004-12-29,The Merchant of Venice,30000000.0,3765585.0,18765585.0,en,12,7.9,359,-11234415.0,-0.3744805
93,2002-06-07,The Divine Secrets of the Ya-Ya Sisterhood,27000000.0,69586544.0,73826768.0,en,12,7.9,359,46826768.0,1.7343247407407407
93,2013-12-13,Tyler Perry's A Madea Christmas,25000000.0,52543354.0,52543354.0,en,12,7.9,359,27543354.0,1.10173416
93,2019-01-25,Serenity,25000000.0,8547045.0,11367029.0,en,12,7.9,359,-13632971.0,-0.54531884
93,1991-08-23,Harley Davidson and the Marlboro Man,23000000.0,7018525.0,7018525.0,en,12,7.9,359,-15981475.0,-0.6948467391304348
93,2013-07-19,The Conjuring,20000000.0,137400141.0,318000141.0,en,12,7.9,359,298000141.0,14.90000705
93,2008-09-19,Appaloosa,20000000.0,20211394.0,27911453.0,en,12,7.9,359,7911453.0,0.39557265
